data_hosp[65],data_hosp[66],data_hosp[67],data_hosp[68],data_hosp[69],data_hosp[70],data_hosp[71]
292.0,276.0,248.0,262.0,238.0,216.0,185.0
316.0,287.0,323.0,340.0,236.0,276.0,283.0
311.0,308.0,356.0,256.0,249.0,273.0,285.0
347.0,325.0,333.0,256.0,303.0,358.0,336.0
329.0,340.0,355.0,339.0,314.0,290.0,315.0
316.0,276.0,232.0,264.0,247.0,247.0,241.0
320.0,342.0,392.0,262.0,293.0,248.0,281.0
325.0,335.0,307.0,247.0,345.0,271.0,295.0
328.0,285.0,268.0,336.0,232.0,275.0,252.0
385.0,333.0,234.0,254.0,273.0,225.0,242.0
286.0,320.0,367.0,246.0,403.0,277.0,300.0
374.0,290.0,301.0,282.0,298.0,211.0,251.0
